zip,state,comm_rate,res_rate,ind_rate
1571,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1581,MA,0.11872889262811644,0.14151238859573367,0.11290107716046334
1583,MA,0.11857016139989407,0.13857871352104503,0.11889921077855693
1585,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1586,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1588,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1590,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1601,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1602,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1603,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1604,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1605,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1606,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1607,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1608,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1609,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1610,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1611,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1612,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1613,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1614,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1615,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1653,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1654,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1655,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1701,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1702,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1703,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1704,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1705,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1718,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1719,MA,0.11593949508699745,0.1378100087636003,0.11146167665582483
1720,MA,0.12207389583933452,0.1394132434369938,0.11409320245157946
1721,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1730,MA,0.12517557278387226,0.14619281594468386,0.11608268338899579
1731,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1740,MA,0.1124046204102821,0.1381912962612648,0.11433770918525123
1741,MA,0.12517557278387226,0.14619281594468386,0.11608268338899579
1742,MA,0.13278921833739246,0.1508348855075807,0.1174792342253795
1745,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1746,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1747,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1748,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1749,MA,0.11534024317793334,0.1436091787658364,0.11311369460115699
1752,MA,0.11534024317793334,0.1436091787658364,0.11311369460115699
1754,MA,0.11639700232749428,0.1465288235428349,0.11253091957898147
1756,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1757,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1760,MA,0.12430797649031204,0.1484429949929482,0.11653283749417338
1770,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1772,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1773,MA,0.13278921833739246,0.1508348855075807,0.1174792342253795
1775,MA,0.11593949508699745,0.1378100087636003,0.11146167665582483
1776,MA,0.12259691937383728,0.14451309088442277,0.11590847170531536
1778,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1784,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1801,MA,0.12068783594516529,0.1458787150573441,0.11247848662029414
1803,MA,0.11791474334853595,0.1432191136745419,0.11308223482594457
1805,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1810,MA,0.1166954540279531,0.137541187775774,0.11428527622656388
1812,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1813,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1815,MA,0.11974367732941023,0.15173600252269373,0.11127767272501563
1821,MA,0.11791474334853595,0.1432191136745419,0.11308223482594457
