zip,lat,lon,area,wealth,res_rate
32162,28.9121162,-81.98620600000002,1208760.8718980546,7001.643337760071,0.1276817157299975
33993,26.6925892,-82.06250519999998,1196024.77,13805.33187899942,0.10815345035338923
78521,25.9739925,-97.330053,1194285.5399061027,7916.289805794197,0.10178922028327764
90631,33.92266179999999,-117.9600466,1181754.2499999998,18376.842381579143,0.12503858675468665
87111,35.1322706,-106.4994889,1177236.19,21942.041246238277,0.13415147163807442
32935,28.1543081,-80.6437906,1176995.2499999998,13637.126835883528,0.10653772465040548
91744,34.0274622,-117.9307584,1174945.9,11838.099529633113,0.12503858675468665
14221,42.9734553,-78.713608,1166914.61,24474.144412286434,0.09503212451951
35758,34.7091114,-86.761749,1166148.7500000002,28414.363892537316,0.06407740061683696
87121,35.112806400000004,-106.8650395,1160910.8450704224,10315.474720089676,0.1292278824704864
94513,37.9341399,-121.6967438,1156684.1247484912,22555.56650489882,0.14084994866818065
48439,42.9362643,-83.57096399999998,1152815.84,21840.188888211505,0.08875314529756638
92886,33.901140500000004,-117.7959713,1146934.74,32922.67769092003,0.13377427551693968
92336,34.145515,-117.4673845,1143724.218645206,17343.408724369197,0.12503858675468665
33155,25.7360194,-80.3157397,1124359.6100000006,16580.597538138303,0.10653772465040548
85308,33.664516,-112.2026347,1120337.384305835,22084.378076272784,0.12264054380846552
63376,38.7874699,-90.6298922,1119015.09054326,22870.912125148247,0.10046659040496796
70003,30.0085623,-90.2150873,1115720.3999999994,16931.091955168118,0.08953018063378321
78228,29.455339,-98.5611142,1114899.0100000002,9527.003825814898,0.10663021989030452
93536,34.7190908,-118.2526623,1113292.3943661964,17104.84734482078,0.13294426771143364
30044,33.9327331,-84.06959609999998,1107140.3554661304,15427.319870516054,0.11057864502481796
97701,44.1137409,-121.263026,1107107.0020120717,15721.410370721953,0.07820110739544578
45011,39.42964129999999,-84.5117321,1104800.5097250163,18699.09924365285,0.10605829697941498
85364,32.705654100000004,-114.678669,1101398.665325285,11466.672514151447,0.12933129297097806
94558,38.3170536,-122.3019206,1098025.9959758548,21262.92002094868,0.14084994866818065
79912,31.8586994,-106.5466221,1093625.5935613688,18554.29644509532,0.1128365028254346
34698,28.0339553,-82.78324889999998,1091529.2800000005,16093.547556390977,0.13172095002078318
33012,25.8641207,-80.30459669999998,1091174.0899999996,10173.076998671244,0.10653772465040548
30043,33.9963181,-84.0061661,1089186.2910798122,18723.580139828766,0.11057864502481796
92647,33.7222674,-118.0010421,1083211.2999999998,21160.31349462836,0.12503858675468665
30127,33.8822455,-84.6688348,1078218.8665325278,20040.508691401395,0.11052436259060873
85142,33.2028363,-111.642224,1075724.788732393,1738.6589727849396,0.12048339736696073
30052,33.80268119999999,-83.91089680000002,1073861.9986586177,17603.795966426133,0.1095345618296507
30024,34.067013,-84.09072459999999,1072974.138162307,30504.51784443,0.1073089000673535
91344,34.2801972,-118.4980744,1072383.5499999996,21296.70243685624,0.13463911190052275
33909,26.7209489,-81.94257009999998,1068677.87,13054.000302781262,0.10815345035338923
93257,36.0651915,-119.0167603,1068062.4144869223,9441.32403605141,0.12503858675468665
34953,27.2420429,-80.38813329999998,1067093.0315224687,14511.311672683512,0.10653772465040548
75002,33.1044628,-96.642433,1063879.2287055666,27016.725292999683,0.1139726279166153
45424,39.853124,-84.1224036,1059922.6200000006,17451.74972962147,0.1058193756854013
